"id";"time";"player_id";"mate_id";"team_id";"decision";"decision_count";"goal_team_1";"goal_team_2";"goal_1_post_1_x";"goal_1_post_1_y";"goal_1_post_2_x";"goal_1_post_2_y";"goal_2_post_1_x";"goal_2_post_1_y";"goal_2_post_2_x";"goal_2_post_2_y";"player_1_x";"player_1_y";"player_1_alpha";"player_2_x";"player_2_y";"player_2_alpha";"player_3_x";"player_3_y";"player_3_alpha";"player_4_x";"player_4_y";"player_4_alpha";"ball_x";"ball_y";"time_stamp"
"17320";"0,0";"1";"2";"1";"shoot";"1";"0";"0";"1185,0";"251,0";"1195,0";"484,0";"100,0";"234,0";"81,0";"458,0";"978,5";"254,0";"77,94";"994,75";"489,5";"297,81";"314,25";"248,25";"330,49";"288,0";"445,0";"42,48";"637,0";"352,5";"18.12.2020 13:36:15"
"17321";"0,31";"4";"3";"2";"center";"2";"0";"0";"1185,0";"251,0";"1195,0";"484,0";"100,0";"234,0";"81,0";"458,0";"976,0";"254,5";"62,0";"995,0";"489,5";"293,56";"329,0";"255,5";"330,54";"287,25";"444,5";"27,27";"646,92";"369,92";"18.12.2020 13:36:15"
"17322";"0,31";"3";"4";"2";"shoot";"1";"0";"0";"1185,0";"251,0";"1195,0";"484,0";"100,0";"234,0";"81,0";"458,0";"976,0";"254,5";"62,0";"995,0";"489,5";"293,56";"329,0";"255,5";"330,54";"287,25";"444,5";"27,27";"646,92";"369,92";"18.12.2020 13:36:15"
"17323";"0,31";"2";"1";"1";"guard";"2";"0";"0";"1185,0";"251,0";"1195,0";"484,0";"100,0";"234,0";"81,0";"458,0";"976,0";"254,5";"62,0";"995,0";"489,5";"293,56";"329,0";"255,5";"330,54";"287,25";"444,5";"27,27";"646,92";"369,92";"18.12.2020 13:36:15"
"17324";"0,31";"1";"2";"1";"shoot";"1";"0";"0";"1185,0";"251,0";"1195,0";"484,0";"100,0";"234,0";"81,0";"458,0";"976,0";"254,5";"62,0";"995,0";"489,5";"293,56";"329,0";"255,5";"330,54";"287,25";"444,5";"27,27";"646,92";"369,92";"18.12.2020 13:36:16"
"17325";"0,63";"4";"3";"2";"center";"2";"0";"0";"1185,0";"251,0";"1195,0";"484,0";"100,0";"234,0";"81,0";"458,0";"966,25";"246,5";"9,18";"1002,75";"491,75";"235,34";"375,0";"279,0";"330,54";"287,25";"444,5";"27,27";"647,32";"349,68";"18.12.2020 13:36:16"
"17326";"0,63";"3";"4";"2";"shoot";"1";"0";"0";"1185,0";"251,0";"1195,0";"484,0";"100,0";"234,0";"81,0";"458,0";"966,25";"246,5";"9,18";"1002,75";"491,75";"235,34";"375,0";"279,0";"330,54";"287,25";"444,5";"27,27";"647,32";"349,68";"18.12.2020 13:36:16"
"17327";"0,96";"2";"1";"1";"guard";"2";"0";"0";"1185,0";"251,0";"1195,0";"484,0";"100,0";"234,0";"81,0";"458,0";"946,25";"237,5";"349,6";"1020,25";"484,75";"212,84";"417,75";"301,0";"331,29";"346,25";"428,0";"8,4";"650,48";"336,25";"18.12.2020 13:36:16"
"17328";"0,96";"1";"2";"1";"shoot";"1";"0";"0";"1185,0";"251,0";"1195,0";"484,0";"100,0";"234,0";"81,0";"458,0";"946,25";"237,5";"349,6";"1020,25";"484,75";"212,84";"417,75";"301,0";"331,29";"346,25";"428,0";"8,4";"650,48";"336,25";"18.12.2020 13:36:16"
"17329";"1,27";"4";"3";"2";"center";"2";"0";"0";"1185,0";"251,0";"1195,0";"484,0";"100,0";"234,0";"81,0";"458,0";"909,25";"235,5";"7,62";"1061,5";"455,75";"213,88";"465,0";"325,0";"330,54";"405,5";"414,75";"7,09";"654,0";"330,5";"18.12.2020 13:36:16"
