time,player_id,mate_id,team_id,decision,goal_team_1,goal_team_2,goal_1_post_1_x,goal_1_post_1_y,goal_1_post_2_x,goal_1_post_2_y,goal_2_post_1_x,goal_2_post_1_y,goal_2_post_2_x,goal_2_post_2_y,player_1_x,player_1_y,player_1_alpha,player_2_x,player_2_y,player_2_alpha,player_3_x,player_3_y,player_3_alpha,player_4_x,player_4_y,player_4_alpha,ball_x,ball_y,label
0,1,2,1,shoot,0,0,1185,251,1195,484,100,234,81,458,978.5,254,77.94,994.75,489.5,297.81,314.25,248.25,330.49,288,445,42.48,637,352.5,-0.5790314408063971
0.31,1,2,1,shoot,0,0,1185,251,1195,484,100,234,81,458,976,254.5,62,995,489.5,293.56,329,255.5,330.54,287.25,444.5,27.27,646.92,369.92,-0.5790314408063971
0.96,1,2,1,shoot,0,0,1185,251,1195,484,100,234,81,458,946.25,237.5,349.6,1020.25,484.75,212.84,417.75,301,331.29,346.25,428,8.4,650.48,336.25,-0.5790314408063971
1.27,1,2,1,shoot,0,0,1185,251,1195,484,100,234,81,458,909.25,235.5,7.62,1061.5,455.75,213.88,465,325,330.54,405.5,414.75,7.09,654,330.5,-0.5790314408063971
1.94,1,2,1,shoot,0,0,1185,251,1195,484,100,234,81,458,909.5,267,72.27,1138,400.25,214.97,542.5,369,349.79,442.5,405,300.47,655,337,-0.5790314408063971
2.6,1,2,1,shoot,0,0,1185,251,1195,484,100,234,81,458,895.5,301.75,9.55,1203.5,351.25,214.97,611.25,346,19.06,453.5,457.5,297.27,669.9,345.9,-0.5790314408063971
2.91,1,2,1,shoot,0,0,1185,251,1195,484,100,234,81,458,893.75,299,0.51,1203.25,351.25,214.97,626.75,338.25,15.28,444.75,462.25,346.58,712.76,324.29,-0.5790314408063971
3.55,1,2,1,shoot,0,0,1185,251,1195,484,100,234,81,458,898,316,58.24,1203.25,351.5,214.68,548.25,360.5,9.94,498.75,450.5,12.7,798.3,292.45,-0.5790314408063971
3.88,1,2,1,shoot,0,0,1185,251,1195,484,100,234,81,458,889.25,307,6.04,1203.25,351.25,214.97,579.25,354,344.33,522,440,6.32,842.23,280.01,-0.5790314408063971
4.51,1,2,1,shoot,0,0,1185,251,1195,484,100,234,81,458,837.5,290.75,349.79,1203.5,351.25,214.97,581.5,346,9.94,535.75,448.75,298.14,868.29,198.24,-0.5790314408063971
5.16,1,2,1,shoot,0,0,1185,251,1195,484,100,234,81,458,825.25,320.75,61.29,1164.75,383.75,190.34,636.25,304.75,32.47,547,485.75,11.56,915.1,135.5,-0.5790314408063971
5.49,1,2,1,shoot,0,0,1185,251,1195,484,100,234,81,458,811,352,46.07,1160.75,393.5,138.43,660.75,282.75,7.94,561.75,477,32.84,939.63,117.76,-0.5790314408063971
6.15,1,2,1,shoot,0,0,1185,251,1195,484,100,234,81,458,750,384,24.38,1133.25,350.75,134.81,728.75,293.5,346,630,424,48.43,986,103,-0.5790314408063971
6.47,1,2,1,shoot,0,0,1185,251,1195,484,100,234,81,458,721.75,400.5,37.81,1136.75,347.5,155.75,749.5,300,356.31,638.5,430.25,106.29,1010.5,106,-0.5790314408063971
7.14,1,2,1,shoot,0,0,1185,251,1195,484,100,234,81,458,739.25,385.75,94.44,1029.25,304.25,157.34,753.25,293.5,70.6,626.75,444.25,161.05,1034.5,118,-0.5790314408063971
7.76,1,2,1,shoot,0,0,1185,251,1195,484,100,234,81,458,742,373.5,166.3,936.75,267,155.75,775.5,248,22.87,585.25,438.5,102.7,1045,137,-0.5790314408063971
8.07,1,2,1,shoot,0,0,1185,251,1195,484,100,234,81,458,691.75,364.25,166,893.25,248,156.33,818,224,18.11,583.25,417.75,76,1040.91,152.5,-0.5790314408063971
8.71,1,2,1,guard,0,0,1185,251,1195,484,100,234,81,458,652.25,353.25,183.02,891.5,242,184.44,819,210.5,303.88,577.5,409.75,92.65,1032,170,0.25
9.35,1,2,1,guard,0,0,1185,251,1195,484,100,234,81,458,751.75,338.5,186.61,886.25,271.5,199.06,805.25,224.75,305.24,584.75,394.75,22.87,1023.64,165.5,0.25
9.67,1,2,1,guard,0,0,1185,251,1195,484,100,234,81,458,786.25,332.5,185.33,901.75,276.5,180.32,816.25,234.75,327.42,624.75,372.5,22.87,1024.74,160.85,0.25
10.32,1,2,1,guard,0,0,1185,251,1195,484,100,234,81,458,790.25,357.75,109.94,964,271.25,213.88,861,263.5,335.15,663,351,23.61,1027.66,155.91,0.25
10.66,1,2,1,guard,0,0,1185,251,1195,484,100,234,81,458,810,391.5,123.18,957,281,238.96,830.75,251.5,339.45,663.25,351,24.38,1027.9,154.5,0.25
11.31,1,2,1,guard,0,0,1185,251,1195,484,100,234,81,458,837.75,380,186.32,948,313.75,210.47,824,241.75,58.13,663.5,351.25,22.13,1027.9,154.5,0.25
11.95,1,2,1,guard,0,0,1185,251,1195,484,100,234,81,458,851.75,379.25,139.44,940.25,321.5,233.57,865,168.5,31.44,663,351.5,21.42,1028.09,154.5,0.25
12.28,1,2,1,guard,0,0,1185,251,1195,484,100,234,81,458,851.25,395.5,109.94,959,296,241.29,880.5,161.75,6.61,663.25,351.25,22.13,1019,154,0.25
12.94,1,2,1,guard,0,0,1185,251,1195,484,100,234,81,458,882,427.75,163.43,969,296.75,212.84,981.75,143.25,8.65,663.25,351.25,22.13,1032,151,0.25
13.25,1,2,1,guard,0,0,1185,251,1195,484,100,234,81,458,884.25,416.25,205.85,970,298,202.87,1027.25,133,9.03,663.5,351.25,22.13,1074.64,142.46,0.25
13.89,1,2,1,guard,0,0,1185,251,1195,484,100,234,81,458,899,368.5,249.45,958,299.5,99.94,1096,123,0,663.25,351.5,21.42,1142.93,144.2,0.25
14.21,1,2,1,guard,0,0,1185,251,1195,484,100,234,81,458,889,364,292.17,952.75,275.75,98.28,1103.25,129,351.11,663.25,351,24.38,1152.5,159.5,0.25
14.86,1,2,1,guard,0,0,1185,251,1195,484,100,234,81,458,917.75,401.25,330.44,947.25,268,106.86,1105.25,133.5,354.52,663.25,351.5,22.13,1156,249,0.25
15.5,1,2,1,guard,0,0,1185,251,1195,484,100,234,81,458,920.25,426.75,59.74,947.5,267.75,169.79,1103.5,143.25,292.87,663.25,351.25,22.13,1154,327,0.25
15.8,1,2,1,guard,0,0,1185,251,1195,484,100,234,81,458,926.75,421,87.95,913.75,265.25,157.87,1124.5,184,293.66,663.5,351.25,22.13,1146.5,352.5,0.25
16.47,1,2,1,guard,0,0,1185,251,1195,484,100,234,81,458,914.5,382.5,54.48,899.25,252.75,82.94,1177.5,279.25,296.05,664.5,348.75,3.02,1124,418.5,0.25
17.09,1,2,1,guard,0,0,1185,251,1195,484,100,234,81,458,933,342.25,95.77,913.25,226.5,145.93,1201.75,312.25,229.07,676.75,354.75,296.69,1096.5,445.5,0.25
17.43,1,2,1,guard,0,0,1185,251,1195,484,100,234,81,458,943.5,339,134.81,901.75,222,164.33,1187,320.25,207.57,701.5,394.5,296.69,1073.5,446,0.25
18.07,1,2,1,guard,0,0,1185,251,1195,484,100,234,81,458,948.75,316.5,224.96,824,200,183.02,1100.75,369.25,205.2,734,435.5,344.67,1037.5,466,0.25
18.4,1,2,1,guard,0,0,1185,251,1195,484,100,234,81,458,936,309.5,274.44,840.5,186.75,205.2,1054.5,393.75,203.66,785.5,443.75,346,1029,460.5,0.25
19.03,1,2,1,guard,0,0,1185,251,1195,484,100,234,81,458,957.5,344,269.58,871.5,172.5,216.34,960.75,441,203.61,872.5,463.5,11.14,930,485.5,0.25
19.67,1,2,1,guard,0,0,1185,251,1195,484,100,234,81,458,979,298.5,231.17,892.75,187.5,161.05,936.5,448.25,261.41,849.75,471.75,324.8,909,523,0.25
19.98,1,2,1,guard,0,0,1185,251,1195,484,100,234,81,458,986.25,305.25,187.94,918.5,196,146.77,929.5,433.75,288.42,849.25,470.5,307.94,914.21,537.21,0.25
20.64,1,2,1,guard,0,0,1185,251,1195,484,100,234,81,458,1059.25,326.75,164.33,906.25,197.25,59.74,890.75,342.75,292.87,841,467.25,258.4,931.3,569.37,0.25
20.98,1,2,1,guard,0,0,1185,251,1195,484,100,234,81,458,1073.5,330,164.67,902.5,198,57.42,876,309.5,312.48,838.5,466,263.13,944.29,579.29,0.25
21.63,1,2,1,guard,0,0,1185,251,1195,484,100,234,81,458,1111.25,334.25,169.4,918,216.75,118.14,865,317,33.88,860,465.75,194.74,949.16,583.33,0.25
22.28,1,2,1,guard,0,0,1185,251,1195,484,100,234,81,458,1197.25,343.75,156.77,964,296,118.14,819.25,337,0.22,952.25,432.5,193.66,936,576.5,0.25
22.6,1,2,1,guard,0,0,1185,251,1195,484,100,234,81,458,1198.75,347.25,134.96,983.75,324.75,127.94,763,338.5,0.22,1010.5,412,193.66,930,570.5,0.25
23.24,1,2,1,guard,0,0,1185,251,1195,484,100,234,81,458,1198.75,347.25,134.96,988.5,308.25,206.69,661.5,341.5,0.32,1064.25,387.75,245.15,920.34,564.1,0.25
23.56,1,2,1,guard,0,0,1185,251,1195,484,100,234,81,458,1198.75,347.25,134.96,1001.5,289.75,226.28,626.75,344,344.67,1064.25,387.75,245.15,922.5,566.5,0.25
24.19,1,2,1,shoot,0,0,1185,251,1195,484,100,234,81,458,1198.75,347.25,134.96,1049,236.5,209.04,632.5,354.75,279.94,1061.75,426.5,263.58,922.29,565.29,0.827926591885795
24.86,1,2,1,shoot,0,0,1185,251,1195,484,100,234,81,458,1202.25,330.25,209.49,1050.75,221.75,244.51,652.25,397.75,335.15,1067.75,516.25,184.67,922.2,566.2,0.827926591885795
25.17,1,2,1,shoot,0,0,1185,251,1195,484,100,234,81,458,1189.75,339.25,230.15,1043.5,217.75,285.28,696,417,335.75,1067.75,516.25,184.67,922.2,566.2,0.827926591885795
25.82,1,2,1,shoot,0,0,1185,251,1195,484,100,234,81,458,1154.75,376.5,181.66,1066,251.25,294.38,740.25,449.25,286.86,900,523,183.69,862.66,568.69,0.827926591885795
26.14,1,2,1,shoot,0,0,1185,251,1195,484,100,234,81,458,1123.25,374.25,202.87,1077,254.25,242.88,748.75,480,307.81,864,526.5,156.33,812.81,575.75,0.827926591885795
26.79,1,2,1,shoot,0,0,1185,251,1195,484,100,234,81,458,1098.5,361.5,303.49,1047.25,281.75,245.15,760,481,15.28,887.75,558.5,129.02,717.93,598.17,0.827926591885795
27.45,1,2,1,shoot,0,0,1185,251,1195,484,100,234,81,458,1087.75,362,292.87,1048.25,306.5,285.28,839.5,453.25,346.58,901.5,563.25,228.15,645.59,629.31,0.827926591885795
27.77,1,2,1,shoot,0,0,1185,251,1195,484,100,234,81,458,1093.5,378.5,296.45,1053.75,326.75,286.86,841.5,447.75,341.48,895.25,553.5,286.69,622.5,653,0.827926591885795
28.41,1,2,1,shoot,0,0,1185,251,1195,484,100,234,81,458,1083.75,363.75,298.66,1046.25,310.75,286.86,826.5,470.5,52.15,894.25,562,260.14,581.5,628.34,0.827926591885795
28.72,1,2,1,shoot,0,0,1185,251,1195,484,100,234,81,458,1069.5,337.25,295.85,1035.75,284.75,283.66,797.75,509,52.15,904.5,549,242.68,573.06,613.6,0.827926591885795
29.36,1,2,1,shoot,0,0,1185,251,1195,484,100,234,81,458,1043,278,289.94,1019,214.25,266.31,772.25,536.5,351.54,937.25,476.5,242.68,562.5,579.5,0.827926591885795
29.69,1,2,1,shoot,0,0,1185,251,1195,484,100,234,81,458,1043,279,286.86,1015.5,212.25,260.95,774.5,531.5,302.22,937.25,476.5,242.68,567,569,0.827926591885795
30.34,1,2,1,shoot,0,0,1185,251,1195,484,100,234,81,458,1060.75,348.5,273.02,1007.75,282.5,262.84,788,586,298.31,948.25,473,185.28,568.5,575.5,0.827926591885795
30.99,1,2,1,shoot,0,0,1185,251,1195,484,100,234,81,458,1062,419,259.79,1005.5,336.25,269.68,793.5,590,16.86,943.75,483.25,108.69,578.62,579.92,0.827926591885795
31.32,1,2,1,shoot,0,0,1185,251,1195,484,100,234,81,458,1057.75,457.5,247.87,1006.75,379,269.68,826,576,353.13,949.75,484.5,140.4,568,581,0.827926591885795
31.97,1,2,1,shoot,0,0,1185,251,1195,484,100,234,81,458,1056.5,487,208.14,1003.25,351,254.67,786.5,538.5,338.38,955.75,473.5,207.27,576.5,568,0.827926591885795
32.31,1,2,1,shoot,0,0,1185,251,1195,484,100,234,81,458,1045.25,476,263.13,1006.75,353.25,204.38,779.5,540.75,29.54,956.5,479.5,161.89,575.25,576.85,0.827926591885795
